|    | archivo_local   | archivo_muse   |   n_respuestas_inicial |   n_respuestas_final |   balance clase 0(p) |   balance clase 0(p)(train) |   balance clase 0(p)(test) |
|---:|:----------------|:---------------|-----------------------:|---------------------:|---------------------:|----------------------------:|---------------------------:|
|  0 | results0.csv    | museData0.csv  |                    164 |                  164 |             0.603659 |                    0.610687 |                   0.575758 |
|  1 | results1.csv    | museData1.csv  |                    254 |                  254 |             0.594488 |                    0.635468 |                   0.431373 |
|  2 | results10.csv   | museData10.csv |                    137 |                  136 |             0.49635  |                    0.5      |                   0.464286 |
|  3 | results11.csv   | museData11.csv |                    155 |                  155 |             0.567742 |                    0.540323 |                   0.677419 |
|  4 | results12.csv   | museData12.csv |                    107 |                  107 |             0.485981 |                    0.482353 |                   0.5      |
|  5 | results13.csv   | museData13.csv |                     49 |                   49 |             0.469388 |                    0.461538 |                   0.5      |
|  6 | results14.csv   | museData14.csv |                    153 |                  153 |             0.627451 |                    0.631148 |                   0.612903 |
|  7 | results15.csv   | museData15.csv |                    115 |                  114 |             0.521739 |                    0.538462 |                   0.478261 |
|  8 | results16.csv   | museData16.csv |                    161 |                  160 |             0.416149 |                    0.414062 |                   0.4375   |
|  9 | results17.csv   | museData17.csv |                    158 |                  158 |             0.443038 |                    0.468254 |                   0.34375  |
| 10 | results18.csv   | museData18.csv |                    128 |                  126 |             0.5      |                    0.52     |                   0.423077 |
| 11 | results19.csv   | museData19.csv |                     90 |                   90 |             0.477778 |                    0.486111 |                   0.444444 |
| 12 | results4.csv    | museData4.csv  |                    168 |                  168 |             0.547619 |                    0.559701 |                   0.5      |
| 13 | results5.csv    | museData5.csv  |                    223 |                  222 |             0.515695 |                    0.502825 |                   0.555556 |
| 14 | results6.csv    | museData6.csv  |                    104 |                  103 |             0.480769 |                    0.463415 |                   0.571429 |
| 15 | results7.csv    | museData7.csv  |                    119 |                  119 |             0.302521 |                    0.315789 |                   0.25     |
| 16 | results8.csv    | museData8.csv  |                    178 |                  178 |             0.494382 |                    0.471831 |                   0.583333 |
| 17 | results9.csv    | museData9.csv  |                    116 |                  116 |             0.663793 |                    0.641304 |                   0.75     |
|                           |   g_mean |   accuracy |   balance_accuracy |   precision |   specificity |   recall |   f1_macro |
|:--------------------------|---------:|-----------:|-------------------:|------------:|--------------:|---------:|-----------:|
| ('museData0.csv', 'RF')   | 0.37782  |   0.424242 |           0.37782  |    0.321429 |     0.0714286 | 0.684211 |   0.336508 |
| ('museData0.csv', 'XGB')  | 0.486842 |   0.484848 |           0.486842 |    0.487132 |     0.5       | 0.473684 |   0.482949 |
| ('museData0.csv', 'SVM')  | 0.475564 |   0.515152 |           0.475564 |    0.4675   |     0.214286  | 0.736842 |   0.454545 |
